,Age,Gender,Education Level,Job Title,Years of Experience,Salary,Age_cat,Years_Exper,Sal_Cat
68,34.0,Male,Master's Degree,Business Development Manager,8.0,90000.0,Thirties,6-10,Medium
69,49.0,Female,Master's Degree,Senior Financial Analyst,18.0,150000.0,Forties,16-20,High
70,33.0,Male,Bachelor's Degree,Web Developer,6.0,65000.0,Thirties,6-10,Medium
71,39.0,Female,Bachelor's Degree,Recruiter,11.0,70000.0,Thirties,11-15,Medium
72,45.0,Male,PhD,Research Director,16.0,190000.0,Forties,16-20,Very High
73,28.0,Male,Bachelor's Degree,Technical Support Specialist,2.0,40000.0,Twenties,0-5,Low
74,42.0,Female,Master's Degree,Creative Director,14.0,120000.0,Forties,11-15,High
75,37.0,Male,Bachelor's Degree,Project Manager,10.0,95000.0,Thirties,6-10,Medium
76,50.0,Female,Bachelor's Degree,Operations Manager,22.0,160000.0,Forties,21-25,Very High
77,32.0,Male,Master's Degree,Senior Software Engineer,6.0,100000.0,Thirties,6-10,Medium
78,48.0,Female,Master's Degree,Human Resources Director,20.0,180000.0,Forties,16-20,Very High
79,30.0,Female,Bachelor's Degree,Content Marketing Manager,3.0,55000.0,Twenties,0-5,Medium
80,36.0,Male,Bachelor's Degree,Technical Recruiter,8.0,70000.0,Thirties,6-10,Medium
81,41.0,Female,Master's Degree,Data Analyst,13.0,80000.0,Forties,11-15,Medium
82,25.0,Male,Bachelor's Degree,Sales Representative,0.0,30000.0,Twenties,0-5,Low
83,52.0,Male,PhD,Chief Technology Officer,24.0,250000.0,Fifties,21-25,Top Tier
84,29.0,Female,Bachelor's Degree,Junior Designer,2.0,40000.0,Twenties,0-5,Low
85,34.0,Female,Master's Degree,Financial Advisor,10.0,95000.0,Thirties,6-10,Medium
86,27.0,Male,Bachelor's Degree,Junior Account Manager,2.0,45000.0,Twenties,0-5,Low
87,40.0,Female,Bachelor's Degree,HR Generalist,15.0,80000.0,Thirties,11-15,Medium
88,46.0,Male,Master's Degree,Senior Project Manager,21.0,135000.0,Forties,21-25,High
89,31.0,Female,Bachelor's Degree,Marketing Coordinator,6.0,55000.0,Thirties,6-10,Medium
90,36.0,Male,PhD,Principal Scientist,11.0,120000.0,Thirties,11-15,High
91,29.0,Female,Bachelor's Degree,Sales Associate,3.0,40000.0,Twenties,0-5,Low
92,43.0,Male,Bachelor's Degree,Supply Chain Manager,18.0,105000.0,Forties,16-20,High
93,52.0,Female,Master's Degree,Senior Marketing Manager,25.0,170000.0,Fifties,21-25,Very High
94,33.0,Male,Bachelor's Degree,Business Analyst,7.0,75000.0,Thirties,6-10,Medium
95,39.0,Female,Bachelor's Degree,Training Specialist,12.0,65000.0,Thirties,11-15,Medium
96,47.0,Male,PhD,Research Scientist,22.0,160000.0,Forties,21-25,Very High
97,26.0,Male,Bachelor's Degree,Junior Software Developer,1.0,35000.0,Twenties,0-5,Low
98,38.0,Female,Master's Degree,Public Relations Manager,10.0,90000.0,Thirties,6-10,Medium
99,45.0,Male,Bachelor's Degree,Operations Analyst,20.0,110000.0,Forties,16-20,High
100,31.0,Female,Bachelor's Degree,Event Coordinator,5.0,45000.0,Thirties,0-5,Low
101,35.0,Male,Master's Degree,Product Marketing Manager,8.0,95000.0,Thirties,6-10,Medium
102,49.0,Female,Master's Degree,Senior HR Manager,19.0,150000.0,Forties,16-20,High
103,33.0,Male,Bachelor's Degree,Junior Web Developer,5.0,50000.0,Thirties,0-5,Low
104,39.0,Female,Master's Degree,Senior Project Coordinator,13.0,80000.0,Thirties,11-15,Medium
105,44.0,Male,PhD,Chief Data Officer,16.0,220000.0,Forties,16-20,Top Tier
106,30.0,Female,Bachelor's Degree,Digital Content Producer,3.0,50000.0,Twenties,0-5,Low
107,36.0,Male,Bachelor's Degree,IT Support Specialist,7.0,60000.0,Thirties,6-10,Medium
108,41.0,Female,Master's Degree,Senior Marketing Analyst,14.0,100000.0,Forties,11-15,Medium
109,28.0,Male,Bachelor's Degree,Customer Success Manager,2.0,40000.0,Twenties,0-5,Low
110,42.0,Female,Master's Degree,Senior Graphic Designer,15.0,110000.0,Forties,11-15,High
111,37.0,Male,Bachelor's Degree,Software Project Manager,9.0,95000.0,Thirties,6-10,Medium
112,50.0,Female,Bachelor's Degree,Supply Chain Analyst,22.0,130000.0,Forties,21-25,High
113,32.0,Male,Master's Degree,Senior Business Analyst,6.0,90000.0,Thirties,6-10,Medium
114,23.0,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000.0,Twenties,0-5,Low
115,31.0,Male,Master's Degree,Senior Financial Analyst,6.0,95000.0,Thirties,6-10,Medium
116,40.0,Female,Bachelor's Degree,Office Manager,15.0,65000.0,Thirties,11-15,Medium
117,48.0,Male,PhD,Principal Engineer,20.0,170000.0,Forties,16-20,Very High
118,29.0,Female,Bachelor's Degree,Junior HR Generalist,3.0,45000.0,Twenties,0-5,Low
119,35.0,Male,Master's Degree,Senior Product Manager,10.0,120000.0,Thirties,6-10,High
120,42.0,Female,Bachelor's Degree,Sales Manager,17.0,100000.0,Forties,16-20,Medium
121,53.0,Male,Master's Degree,Director of Marketing,25.0,180000.0,Fifties,21-25,Very High
122,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,50000.0,Thirties,0-5,Low
123,38.0,Male,Bachelor's Degree,Customer Service Manager,11.0,80000.0,Thirties,11-15,Medium
124,44.0,Female,PhD,Senior Scientist,16.0,140000.0,Forties,16-20,High
125,26.0,Male,Bachelor's Degree,Junior Accountant,2.0,40000.0,Twenties,0-5,Low
126,37.0,Female,Master's Degree,Senior HR Generalist,9.0,95000.0,Thirties,6-10,Medium
127,45.0,Male,Bachelor's Degree,Sales Operations Manager,18.0,110000.0,Forties,16-20,High
128,32.0,Female,Bachelor's Degree,Marketing Coordinator,4.0,50000.0,Thirties,0-5,Low
129,34.0,Male,Master's Degree,Senior Software Developer,8.0,105000.0,Thirties,6-10,High
130,50.0,Female,Master's Degree,Director of Operations,21.0,160000.0,Forties,21-25,Very High
131,29.0,Male,Bachelor's Degree,Junior Web Designer,3.0,45000.0,Twenties,0-5,Low
132,40.0,Female,Master's Degree,Senior Training Specialist,12.0,100000.0,Thirties,11-15,Medium
133,47.0,Male,PhD,Senior Research Scientist,22.0,160000.0,Forties,21-25,Very High
134,27.0,Male,Bachelor's Degree,Junior Sales Representative,1.0,35000.0,Twenties,0-5,Low
135,39.0,Female,Bachelor's Degree,Administrative Assistant,10.0,55000.0,Thirties,6-10,Medium
136,46.0,Male,Master's Degree,Senior Project Manager,19.0,140000.0,Forties,16-20,High
137,30.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,50000.0,Twenties,0-5,Low
138,36.0,Male,Bachelor's Degree,Junior Data Analyst,7.0,60000.0,Thirties,6-10,Medium
139,43.0,Female,Master's Degree,Senior Product Marketing Manager,14.0,120000.0,Forties,11-15,High
140,28.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0,Twenties,0-5,Low
141,41.0,Female,Master's Degree,Senior Marketing Manager,13.0,110000.0,Forties,11-15,High
142,33.0,Male,Bachelor's Degree,Junior Software Developer,5.0,50000.0,Thirties,0-5,Low
143,47.0,Male,Bachelor's Degree,Senior Sales Manager,20.0,135000.0,Forties,16-20,High
144,25.0,Female,Master's Degree,Junior Marketing Specialist,1.5,40000.0,Twenties,0-5,Low
145,34.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,90000.0,Thirties,6-10,Medium
146,42.0,Female,PhD,Senior Data Scientist,16.0,150000.0,Forties,16-20,High
147,31.0,Male,Bachelor's Degree,Junior Project Manager,4.0,60000.0,Thirties,0-5,Medium
148,38.0,Female,Bachelor's Degree,Senior Accountant,10.0,80000.0,Thirties,6-10,Medium
149,45.0,Male,Master's Degree,Director of Sales,19.0,175000.0,Forties,16-20,Very High
150,29.0,Female,Bachelor's Degree,Junior Recruiter,3.0,45000.0,Twenties,0-5,Low
151,36.0,Male,Master's Degree,Senior Business Development Manager,11.0,120000.0,Thirties,11-15,High
152,43.0,Female,PhD,Senior Product Designer,18.0,140000.0,Forties,16-20,High
153,26.0,Male,Bachelor's Degree,Junior Customer Support Specialist,2.0,35000.0,Twenties,0-5,Low
154,37.0,Female,Master's Degree,Senior Marketing Analyst,9.0,95000.0,Thirties,6-10,Medium
155,44.0,Male,Bachelor's Degree,Senior IT Support Specialist,14.0,110000.0,Forties,11-15,High
156,32.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,50000.0,Thirties,0-5,Low
157,33.0,Male,Master's Degree,Senior Operations Manager,7.0,115000.0,Thirties,6-10,High
158,51.0,Female,PhD,Director of Human Resources,23.0,185000.0,Fifties,21-25,Very High
159,28.0,Male,Bachelor's Degree,Junior Software Engineer,2.0,40000.0,Twenties,0-5,Low
160,39.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,90000.0,Thirties,11-15,Medium
161,48.0,Male,Master's Degree,Director of Product Management,21.0,175000.0,Forties,21-25,Very High
162,30.0,Female,Bachelor's Degree,Junior Copywriter,3.0,45000.0,Twenties,0-5,Low
163,35.0,Male,Bachelor's Degree,Senior Marketing Coordinator,7.0,80000.0,Thirties,6-10,Medium
164,41.0,Female,Master's Degree,Senior Human Resources Manager,13.0,120000.0,Forties,11-15,High
165,27.0,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0,Twenties,0-5,Low
166,40.0,Female,Bachelor's Degree,Senior Account Manager,14.0,110000.0,Thirties,11-15,High
167,46.0,Male,PhD,Senior Researcher,18.0,150000.0,Forties,16-20,High
168,31.0,Female,Bachelor's Degree,Junior HR Coordinator,4.0,50000.0,Thirties,0-5,Low
169,34.0,Male,Master's Degree,Senior Software Engineer,9.0,105000.0,Thirties,6-10,High
170,50.0,Female,Master's Degree,Director of Finance,20.0,180000.0,Forties,16-20,Very High
171,29.0,Male,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0,Twenties,0-5,Low
173,43.0,Male,Bachelor's Degree,Senior Project Manager,16.0,140000.0,Forties,16-20,High
174,26.0,Female,Master's Degree,Junior Data Scientist,1.5,45000.0,Twenties,0-5,Low
175,35.0,Male,Bachelor's Degree,Senior Operations Analyst,7.0,85000.0,Thirties,6-10,Medium
176,42.0,Female,PhD,Senior Marketing Manager,18.0,140000.0,Forties,16-20,High
177,31.0,Male,Bachelor's Degree,Junior Accountant,4.0,50000.0,Thirties,0-5,Low
178,38.0,Female,Bachelor's Degree,Senior Human Resources Coordinator,10.0,80000.0,Thirties,6-10,Medium
179,46.0,Male,Master's Degree,Director of Operations,20.0,170000.0,Forties,16-20,Very High
180,29.0,Female,Bachelor's Degree,Junior Sales Representative,2.0,40000.0,Twenties,0-5,Low
181,37.0,Male,Master's Degree,Senior Business Analyst,9.0,105000.0,Thirties,6-10,High
182,44.0,Female,PhD,Senior UX Designer,15.0,145000.0,Forties,11-15,High
183,27.0,Male,Bachelor's Degree,Junior Product Manager,2.0,40000.0,Twenties,0-5,Low
184,36.0,Female,Bachelor's Degree,Senior Marketing Specialist,8.0,85000.0,Thirties,6-10,Medium
185,43.0,Male,Bachelor's Degree,Senior IT Project Manager,14.0,130000.0,Forties,11-15,High
186,33.0,Female,Master's Degree,Senior Financial Analyst,6.0,95000.0,Thirties,6-10,Medium
187,34.0,Male,Bachelor's Degree,Senior Quality Assurance Analyst,9.0,100000.0,Thirties,6-10,Medium
188,50.0,Female,PhD,Director of Sales and Marketing,22.0,180000.0,Forties,21-25,Very High
189,28.0,Male,Bachelor's Degree,Junior Operations Analyst,1.5,35000.0,Twenties,0-5,Low
190,39.0,Female,Bachelor's Degree,Senior Account Executive,12.0,95000.0,Thirties,11-15,Medium
191,47.0,Male,Master's Degree,Director of Business Development,19.0,170000.0,Forties,16-20,Very High
192,30.0,Female,Bachelor's Degree,Junior Social Media Manager,3.0,45000.0,Twenties,0-5,Low
193,34.0,Male,Bachelor's Degree,Senior Product Manager,7.0,95000.0,Thirties,6-10,Medium
194,40.0,Female,Master's Degree,Senior Human Resources Specialist,13.0,120000.0,Thirties,11-15,High
196,41.0,Female,Bachelor's Degree,Senior Marketing Coordinator,11.0,90000.0,Forties,11-15,Medium
197,45.0,Male,PhD,Senior Data Analyst,17.0,155000.0,Forties,16-20,Very High
198,32.0,Female,Bachelor's Degree,Junior Account Manager,5.0,55000.0,Thirties,0-5,Medium
199,35.0,Male,Master's Degree,Senior Software Developer,9.0,110000.0,Thirties,6-10,High
200,49.0,Female,Master's Degree,Director of Human Capital,21.0,180000.0,Forties,21-25,Very High
201,30.0,Male,Bachelor's Degree,Junior Advertising Coordinator,3.0,45000.0,Twenties,0-5,Low
202,44.0,Male,Bachelor's Degree,Senior Sales Manager,16.0,130000.0,Forties,16-20,High
203,27.0,Female,Master's Degree,Junior UX Designer,1.5,45000.0,Twenties,0-5,Low
204,36.0,Male,Bachelor's Degree,Senior Accountant,7.0,90000.0,Thirties,6-10,Medium
205,41.0,Female,PhD,Senior Marketing Director,17.0,160000.0,Forties,16-20,Very High
206,31.0,Male,Bachelor's Degree,Junior HR Generalist,4.0,50000.0,Thirties,0-5,Low
207,39.0,Female,Bachelor's Degree,Senior Operations Manager,10.0,120000.0,Thirties,6-10,High
208,47.0,Male,Master's Degree,Director of Finance,20.0,170000.0,Forties,16-20,Very High
209,30.0,Female,Bachelor's Degree,Junior Marketing Coordinator,2.0,40000.0,Twenties,0-5,Low
210,38.0,Male,Master's Degree,Senior IT Consultant,9.0,110000.0,Thirties,6-10,High
211,45.0,Female,PhD,Senior Product Designer,15.0,150000.0,Forties,11-15,High
212,28.0,Male,Bachelor's Degree,Junior Business Development Associate,2.0,40000.0,Twenties,0-5,Low
213,35.0,Female,Bachelor's Degree,Senior Marketing Analyst,8.0,85000.0,Thirties,6-10,Medium
214,44.0,Male,Bachelor's Degree,Senior Software Engineer,14.0,130000.0,Forties,11-15,High
215,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,100000.0,Thirties,6-10,Medium
216,35.0,Male,Bachelor's Degree,Senior Project Coordinator,9.0,95000.0,Thirties,6-10,Medium
217,50.0,Female,PhD,Director of Operations,22.0,180000.0,Forties,21-25,Very High
218,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,35000.0,Twenties,0-5,Low
219,40.0,Female,Bachelor's Degree,Senior Sales Representative,12.0,100000.0,Thirties,11-15,Medium
220,48.0,Male,Master's Degree,Director of Marketing,19.0,170000.0,Forties,16-20,Very High
221,31.0,Female,Bachelor's Degree,Junior Social Media Specialist,3.0,45000.0,Thirties,0-5,Low
222,33.0,Male,Bachelor's Degree,Senior Product Development Manager,7.0,100000.0,Thirties,6-10,Medium
223,42.0,Female,Master's Degree,Senior Human Resources Manager,13.0,140000.0,Forties,11-15,High
224,28.0,Male,Bachelor's Degree,Junior Financial Analyst,2.0,40000.0,Twenties,0-5,Low
225,40.0,Female,Bachelor's Degree,Senior Marketing Manager,11.0,105000.0,Thirties,11-15,High
226,46.0,Male,PhD,Senior Data Scientist,18.0,160000.0,Forties,16-20,Very High
227,33.0,Female,Bachelor's Degree,Junior Operations Manager,5.0,70000.0,Thirties,0-5,Medium
228,37.0,Male,Master's Degree,Senior Software Architect,9.0,120000.0,Thirties,6-10,High
229,51.0,Female,Master's Degree,Director of Human Resources,21.0,190000.0,Fifties,21-25,Very High
230,30.0,Male,Bachelor's Degree,Junior Marketing Specialist,3.0,45000.0,Twenties,0-5,Low
231,43.0,Male,Bachelor's Degree,Senior Project Manager,15.0,120000.0,Forties,11-15,High
232,27.0,Female,Master's Degree,Junior Research Scientist,1.5,50000.0,Twenties,0-5,Low
233,35.0,Male,Bachelor's Degree,Senior Operations Analyst,8.0,85000.0,Thirties,6-10,Medium
234,42.0,Female,PhD,Senior Marketing Manager,13.0,140000.0,Forties,11-15,High
235,32.0,Male,Bachelor's Degree,Junior Sales Representative,3.0,45000.0,Thirties,0-5,Low
236,37.0,Female,Bachelor's Degree,Senior Financial Analyst,9.0,100000.0,Thirties,6-10,Medium
237,45.0,Male,Master's Degree,Senior Software Developer,16.0,140000.0,Forties,16-20,High
238,33.0,Female,Bachelor's Degree,Junior Operations Analyst,5.0,70000.0,Thirties,0-5,Medium
239,39.0,Male,Bachelor's Degree,Senior Marketing Specialist,10.0,120000.0,Thirties,6-10,High
240,44.0,Female,PhD,Senior HR Manager,18.0,160000.0,Forties,16-20,Very High
241,29.0,Male,Bachelor's Degree,Junior Business Analyst,1.5,40000.0,Twenties,0-5,Low
242,38.0,Female,Bachelor's Degree,Senior Product Manager,10.0,120000.0,Thirties,6-10,High
243,46.0,Male,PhD,Senior Data Analyst,19.0,150000.0,Forties,16-20,High
244,34.0,Female,Bachelor's Degree,Junior Marketing Analyst,6.0,70000.0,Thirties,6-10,Medium
245,36.0,Male,Bachelor's Degree,Senior Operations Manager,8.0,95000.0,Thirties,6-10,Medium
246,49.0,Female,Master's Degree,Director of Marketing,21.0,180000.0,Forties,21-25,Very High
247,31.0,Male,Bachelor's Degree,Junior Financial Analyst,3.0,50000.0,Thirties,0-5,Low
248,41.0,Female,Bachelor's Degree,Senior Project Coordinator,11.0,95000.0,Forties,11-15,Medium
249,47.0,Male,Master's Degree,Director of Operations,20.0,170000.0,Forties,16-20,Very High
259,29.0,Male,Bachelor's Degree,Junior Business Operations Analyst,1.5,350.0,Twenties,0-5,Low
261,37.0,Female,Bachelor's Degree,Senior Financial Manager,10.0,120000.0,Thirties,6-10,High
263,31.0,Female,Bachelor's Degree,Junior Marketing Coordinator,3.0,50000.0,Thirties,0-5,Low
264,42.0,Male,Bachelor's Degree,Senior Operations Manager,12.0,110000.0,Forties,11-15,High
265,29.0,Female,Bachelor's Degree,Junior Sales Representative,1.5,40000.0,Twenties,0-5,Low
266,36.0,Male,Bachelor's Degree,Senior Marketing Specialist,8.0,95000.0,Thirties,6-10,Medium
267,44.0,Female,Master's Degree,Senior HR Specialist,15.0,140000.0,Forties,11-15,High
268,33.0,Male,Bachelor's Degree,Junior Operations Manager,4.0,60000.0,Thirties,0-5,Medium
269,39.0,Female,Bachelor's Degree,Senior Marketing Coordinator,9.0,110000.0,Thirties,6-10,High
270,45.0,Male,PhD,Senior Data Engineer,16.0,150000.0,Forties,16-20,High
271,32.0,Female,Bachelor's Degree,Junior Marketing Manager,4.0,60000.0,Thirties,0-5,Medium
272,37.0,Male,Bachelor's Degree,Senior Financial Analyst,8.0,90000.0,Thirties,6-10,Medium
273,47.0,Female,Master's Degree,Director of Marketing,20.0,180000.0,Forties,16-20,Very High
274,30.0,Male,Bachelor's Degree,Junior Business Analyst,2.0,40000.0,Twenties,0-5,Low
275,38.0,Female,Bachelor's Degree,Senior Project Manager,9.0,120000.0,Thirties,6-10,High
276,46.0,Male,PhD,Senior Data Analyst,17.0,160000.0,Forties,16-20,Very High
277,34.0,Female,Bachelor's Degree,Junior Financial Analyst,5.0,70000.0,Thirties,0-5,Medium
278,36.0,Male,Bachelor's Degree,Senior Product Manager,8.0,95000.0,Thirties,6-10,Medium
279,49.0,Female,Master's Degree,Director of Operations,21.0,180000.0,Forties,21-25,Very High
280,31.0,Male,Bachelor's Degree,Junior Operations Analyst,3.0,50000.0,Thirties,0-5,Low
282,47.0,Male,Master's Degree,Director of Marketing,19.0,170000.0,Forties,16-20,Very High
283,29.0,Female,Bachelor's Degree,Junior Business Development Associate,1.5,35000.0,Twenties,0-5,Low
284,35.0,Male,Bachelor's Degree,Senior Financial Manager,9.0,100000.0,Thirties,6-10,Medium
285,44.0,Female,PhD,Senior Product Designer,15.0,150000.0,Forties,11-15,High
286,33.0,Male,Bachelor's Degree,Junior Business Analyst,4.0,60000.0,Thirties,0-5,Medium
288,44.0,Male,Bachelor's Degree,Senior Software Engineer,13.0,130000.0,Forties,11-15,High
289,32.0,Male,Bachelor's Degree,Junior Product Manager,4.0,65000.0,Thirties,0-5,Medium
290,38.0,Female,Bachelor's Degree,Senior Business Analyst,10.0,110000.0,Thirties,6-10,High
291,49.0,Male,PhD,Director of Operations,21.0,180000.0,Forties,21-25,Very High
292,29.0,Female,Bachelor's Degree,Junior Marketing Specialist,2.0,40000.0,Twenties,0-5,Low
293,35.0,Male,Bachelor's Degree,Senior Business Development Manager,7.0,90000.0,Thirties,6-10,Medium
294,45.0,Female,Master's Degree,Senior HR Manager,14.0,140000.0,Forties,11-15,High
295,33.0,Male,Bachelor's Degree,Junior Financial Analyst,4.0,60000.0,Thirties,0-5,Medium
296,40.0,Female,Bachelor's Degree,Senior Marketing Manager,12.0,130000.0,Thirties,11-15,High
297,44.0,Male,PhD,Senior Data Scientist,16.0,160000.0,Forties,16-20,Very High
298,30.0,Female,Bachelor's Degree,Junior Operations Coordinator,2.0,40000.0,Twenties,0-5,Low
299,37.0,Male,Bachelor's Degree,Senior Marketing Analyst,9.0,100000.0,Thirties,6-10,Medium
300,48.0,Female,Master's Degree,Director of HR,20.0,180000.0,Forties,16-20,Very High
301,31.0,Male,Bachelor's Degree,Junior Project Manager,3.0,55000.0,Thirties,0-5,Medium
302,38.0,Female,Bachelor's Degree,Senior Operations Coordinator,9.0,120000.0,Thirties,6-10,High
304,33.0,Female,Bachelor's Degree,Junior Marketing Manager,5.0,70000.0,Thirties,0-5,Medium
305,36.0,Male,Bachelor's Degree,Senior Business Analyst,8.0,95000.0,Thirties,6-10,Medium
308,42.0,Female,Bachelor's Degree,Senior Project Manager,12.0,120000.0,Forties,11-15,High
316,34.0,Female,Master's Degree,Senior Financial Advisor,6.0,80000.0,Thirties,6-10,Medium
